,id,title,original_title
550,372058,Your Name.,君の名は。
551,680,Pulp Fiction,Pulp Fiction
552,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
553,13,Forrest Gump,Forrest Gump
554,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
555,769,GoodFellas,GoodFellas
556,346,Seven Samurai,七人の侍
557,12477,Grave of the Fireflies,火垂るの墓
558,637,Life Is Beautiful,La vita è bella
559,11216,Cinema Paradiso,Nuovo Cinema Paradiso
560,278,The Shawshank Redemption,The Shawshank Redemption
561,238,The Godfather,The Godfather
562,240,The Godfather Part II,The Godfather Part II
563,424,Schindler's List,Schindler's List
564,389,12 Angry Men,12 Angry Men
565,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
566,129,Spirited Away,千と千尋の神隠し
567,155,The Dark Knight,The Dark Knight
568,496243,Parasite,기생충
569,497,The Green Mile,The Green Mile
570,372058,Your Name.,君の名は。
571,680,Pulp Fiction,Pulp Fiction
572,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
573,13,Forrest Gump,Forrest Gump
574,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
575,769,GoodFellas,GoodFellas
576,346,Seven Samurai,七人の侍
577,12477,Grave of the Fireflies,火垂るの墓
578,637,Life Is Beautiful,La vita è bella
579,11216,Cinema Paradiso,Nuovo Cinema Paradiso
580,278,The Shawshank Redemption,The Shawshank Redemption
581,238,The Godfather,The Godfather
582,240,The Godfather Part II,The Godfather Part II
583,424,Schindler's List,Schindler's List
584,389,12 Angry Men,12 Angry Men
585,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
586,129,Spirited Away,千と千尋の神隠し
587,155,The Dark Knight,The Dark Knight
588,496243,Parasite,기생충
589,497,The Green Mile,The Green Mile
590,372058,Your Name.,君の名は。
591,680,Pulp Fiction,Pulp Fiction
592,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
593,13,Forrest Gump,Forrest Gump
594,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
595,769,GoodFellas,GoodFellas
596,346,Seven Samurai,七人の侍
597,12477,Grave of the Fireflies,火垂るの墓
598,637,Life Is Beautiful,La vita è bella
599,11216,Cinema Paradiso,Nuovo Cinema Paradiso
600,278,The Shawshank Redemption,The Shawshank Redemption
601,238,The Godfather,The Godfather
602,240,The Godfather Part II,The Godfather Part II
603,424,Schindler's List,Schindler's List
604,389,12 Angry Men,12 Angry Men
605,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
606,129,Spirited Away,千と千尋の神隠し
607,155,The Dark Knight,The Dark Knight
608,496243,Parasite,기생충
609,497,The Green Mile,The Green Mile
610,372058,Your Name.,君の名は。
611,680,Pulp Fiction,Pulp Fiction
612,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
613,13,Forrest Gump,Forrest Gump
614,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
615,769,GoodFellas,GoodFellas
616,346,Seven Samurai,七人の侍
617,12477,Grave of the Fireflies,火垂るの墓
618,637,Life Is Beautiful,La vita è bella
619,11216,Cinema Paradiso,Nuovo Cinema Paradiso
620,278,The Shawshank Redemption,The Shawshank Redemption
621,238,The Godfather,The Godfather
622,240,The Godfather Part II,The Godfather Part II
623,424,Schindler's List,Schindler's List
624,389,12 Angry Men,12 Angry Men
625,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
626,129,Spirited Away,千と千尋の神隠し
627,155,The Dark Knight,The Dark Knight
