,timestamp,Open,High,Low,Close,Volume,year,month,day,hour,minute,weekday,is_weekend,close_change,close_pct_change,close_ma_5,close_ma_10,volume_change,volume_pct_change,price_spread,rolling_std,SMA10,SMA50
29,2024-02-02 17:30:00,411.24,411.35,411.18,411.32,834.0,2024,2,2,17,30,4,0,-0.1150000000000091,-0.0002795095215526455,411.421,411.4845,-890.0,-0.5162412993039442,0.17000000000001592,0.1723893619259535,411.4845,
30,2024-02-02 17:25:00,411.39,411.39,411.18,411.22,439529.0,2024,2,2,17,25,4,0,-0.0999999999999659,-0.00024311971214618922,411.37700000000007,411.46850000000006,438695.0,526.0131894484413,0.20999999999997954,0.16831518053928607,411.46850000000006,
31,2024-02-02 17:20:00,411.0,411.45,411.0,411.29,3690.0,2024,2,2,17,20,4,0,0.06999999999999318,0.0001702251835999924,411.337,411.43549999999993,-435839.0,-0.9916046495225571,0.44999999999998863,0.15734871598148464,411.43549999999993,
32,2024-02-02 17:15:00,411.2,411.2,411.01,411.01,859.0,2024,2,2,17,15,4,0,-0.28000000000002956,-0.0006807848476744205,411.255,411.38050000000004,-2831.0,-0.7672086720867208,0.18999999999999773,0.16641953168509177,411.38050000000004,
33,2024-02-02 17:10:00,410.97,411.2,410.88,411.15,1936.0,2024,2,2,17,10,4,0,0.13999999999998636,0.00034062431571002527,411.198,411.33950000000004,1077.0,1.2537834691501746,0.3199999999999932,0.17100534771562045,411.33950000000004,
34,2024-02-02 17:05:00,410.86,415.318,410.76,410.98,2641.0,2024,2,2,17,5,4,0,-0.16999999999995907,-0.0004134744010700908,411.13,411.2755,705.0,0.36415289256198347,4.557999999999993,0.1842929233012495,411.2755,
35,2024-02-02 17:00:00,410.645,410.81,410.58,410.81,2119.0,2024,2,2,17,0,4,0,-0.17000000000001592,-0.0004136454328678152,411.04800000000006,411.2125,-522.0,-0.1976524043922756,0.2300000000000182,0.22459598229518163,411.2125,
36,2024-02-02 16:55:00,410.99,411.22,410.51,410.71,11969.0,2024,2,2,16,55,4,0,-0.10000000000002274,-0.00024342153306888825,410.93199999999996,411.1345,9850.0,4.64841906559698,0.7100000000000364,0.26643590618618895,411.1345,
37,2024-02-02 16:50:00,410.82,411.22,410.8,411.01,95248.0,2024,2,2,16,50,4,0,0.30000000000001137,0.0007304424046163938,410.93199999999996,411.09350000000006,83279.0,6.957891218982371,0.4200000000000159,0.27418431660779724,411.09350000000006,
38,2024-02-02 16:45:00,410.82,410.89,410.8,410.89,2056.0,2024,2,2,16,45,4,0,-0.12000000000000455,-0.0002919636991800534,410.88,411.03899999999993,-93192.0,-0.9784142449185285,0.08999999999997499,0.28363465659377485,411.03899999999993,
39,2024-02-02 16:40:00,411.03,411.22,410.55,410.88,7297.0,2024,2,2,16,40,4,0,-0.009999999999990905,-2.4337413906394545e-05,410.86,410.995,5241.0,2.549124513618677,0.6700000000000159,0.28972071397346727,410.995,
40,2024-02-02 16:35:00,411.1,411.15,411.0,411.04,3098.0,2024,2,2,16,35,4,0,0.160000000000025,0.0003894080996884597,410.90600000000006,410.977,-4199.0,-0.575441962450322,0.14999999999997726,0.291030270626775,410.977,
41,2024-02-02 16:30:00,411.19,411.19,411.02,411.18,1831.0,2024,2,2,16,30,4,0,0.13999999999998636,0.00034059945504094635,411.0,410.966,-1267.0,-0.40897353131052294,0.17000000000001592,0.27564410215472507,410.966,
42,2024-02-02 16:25:00,411.37,411.39,411.02,411.15,2903.0,2024,2,2,16,25,4,0,-0.03000000000002956,-7.296074711815592e-05,411.02799999999996,410.98,1072.0,0.5854724194429273,0.37000000000000455,0.262450371248517,410.98,
43,2024-02-02 16:20:00,411.29,411.38,411.21,411.33,24158.0,2024,2,2,16,20,4,0,0.18000000000000682,0.00043779642466246216,411.116,410.99799999999993,21255.0,7.321736135032724,0.17000000000001592,0.24966227187957046,410.99799999999993,
44,2024-02-02 16:15:00,411.22,411.4,411.12,411.29,1790.0,2024,2,2,16,15,4,0,-0.03999999999996362,-9.724552062806424e-05,411.198,411.029,-22368.0,-0.9259044622899246,0.2799999999999727,0.22825698236872385,411.029,
45,2024-02-02 16:10:00,411.47,411.5,411.26,411.35,3842.0,2024,2,2,16,10,4,0,0.060000000000002274,0.0001458824673588044,411.26000000000005,411.08299999999997,2052.0,1.1463687150837987,0.2400000000000091,0.2231147627757956,411.08299999999997,
46,2024-02-02 16:05:00,411.14,411.5,411.12,411.46,98868.0,2024,2,2,16,5,4,0,0.1099999999999568,0.0002674121794090656,411.316,411.158,95026.0,24.733472149921916,0.37999999999999545,0.22078135767046628,411.158,
